x,y
146.5,9.0
96.3,4.0
109.1,6.0
94.6,6.0
43.5,1.0
134.1,7.0
58.2,0.0
14.2,0.0
120.8,6.0
40.4,1.0
171.5,10.0
173.8,8.0
167.1,9.0
73.6,4.0
12.7,2.0
169.4,8.0
83.5,5.0
176.0,10.0
175.5,9.0
156.5,9.0
60.6,3.0
76.1,3.0
156.1,9.0
64.4,3.0
39.1,2.0
105.6,6.0
170.7,10.0
129.5,6.0
107.9,8.0
26.7,0.0
115.6,6.0
180.0,10.0
34.1,2.0
99.0,5.0
160.7,9.0
137.2,7.0
129.7,6.0
130.6,8.0
71.7,4.0
60.4,2.0
149.0,9.0
149.1,8.0
158.9,10.0
166.8,10.0
97.8,4.0
96.1,5.0
147.1,9.0
121.6,7.0
130.5,7.0
146.6,8.0
162.8,10.0
68.0,3.0
74.5,4.0
26.1,1.0
109.3,6.0
16.2,1.0
89.9,6.0
103.2,6.0
59.2,4.0
111.5,6.0
15.2,1.0
16.4,0.0
151.2,9.0
71.8,4.0
31.8,1.0
99.7,6.0
142.2,7.0
47.1,4.0
117.0,5.0
24.7,0.0
18.9,2.0
101.2,6.0
102.8,6.0
119.5,7.0
134.7,7.0
177.6,9.0
98.7,5.0
65.5,3.0
146.5,9.0
56.5,3.0
85.4,4.0
23.5,0.0
14.4,1.0
175.3,9.0
153.5,8.0
129.5,7.0
80.2,4.0
39.8,1.0
36.9,1.0
53.0,3.0
104.3,4.0
132.7,6.0
123.4,6.0
58.1,3.0
174.0,10.0
136.7,9.0
105.2,6.0
115.0,6.0
82.0,4.0
52.5,1.0
